Vessel,Laycan From,Laycan To,Destination,Origin,Charterer
Maersk Heiwa,16-Aug-17,23-Sep-17,China,Western Africa,UNIPEC
Athenian Success,14-Aug-17,21-Sep-17,China,Western Africa,UNIPEC
V. K. Eddie,6-Aug-17,13-Sep-17,China,Djeno,Chemchina
New Creation,5-Aug-17,8-Sep-17,China,Angola,Sinochem Group
Eagle Vancouver,8-Aug-17,9-Sep-17,China,Jubilee,UNIPEC
Duqm,8-Aug-17,13-Sep-17,China,Western Africa,Statoil ASA
Oriental Jade,6-Aug-17,5-Sep-17,China,Western Africa,Sinochem Group
New Merit,5-Aug-17,12-Sep-17,China,Jubilee,UNIPEC
Britanis,1-Aug-17,6-Sep-17,China,Djeno,UNIPEC
Leo Voyager,3-Aug-17,11-Sep-17,China,Uruguay,Shell
Maran Artemis,27-Jul-17,29-Aug-17,China,Western Africa,UNIPEC
Athenian Harmony,1-Aug-17,10-Sep-17,China,Tulja,Gunvor
Xin Xia Yang,25-Jul-17,15-Aug-17,China,Al Basrah,UNIPEC
Achilleas,23-Jul-17,28-Aug-17,China,Jose,PetroChina
Olympic Future,26-Jul-17,31-Aug-17,China,Forcados,Sinochem Group
Xin Shen Yang,27-Jul-17,18-Aug-17,China,Kharg Island,UNIPEC
New Enterprise,22-Jul-17,14-Aug-17,China,Al Basrah,UNIPEC
Mesdar,28-Jul-17,17-Aug-17,China,Persian Gulf,UNIPEC
Yamato Spirit,28-Jul-17,30-Jul-17,China,Hong Kong,Sinochem Group
Bunga Kasturi Lima,24-Jul-17,29-Aug-17,China,PSVM,UNIPEC
Xin Jin Yang,25-Jul-17,17-Aug-17,China,Kharg Island,UNIPEC
Athina,22-Jul-17,11-Aug-17,China,Persian Gulf,UNIPEC
Dht Eagle,26-Jul-17,28-Aug-17,China,Western Africa,UNIPEC
Olympic Lion,22-Jul-17,8-Aug-17,China,Mina Al Fahal,CNOOC
Front Endurance,23-Jul-17,24-Aug-17,China,Girassol,UNIPEC
New Dream,22-Jul-17,30-Aug-17,China,Malongo,UNIPEC
Athenian Freedom,25-Jul-17,16-Aug-17,China,Persian Gulf,PetroChina
Tenjun,25-Jul-17,13-Aug-17,China,Mina Al Fahal,PetroChina
Maran Castor,22-Jul-17,17-Aug-17,China,Ras Tanura,UNIPEC
British Vantage,24-Jul-17,16-Sep-17,China,North Sea,Shell
Sara,17-Jul-17,4-Aug-17,China,Iraq,UNIPEC
Jiu Hua San,21-Jul-17,12-Aug-17,China,Ras Tanura,
Th Symphony,20-Jul-17,26-Jul-17,China,Nakhodka,PetroChina
C. Innovator,22-Jul-17,20-Aug-17,China,Caribbean Sea,PetroChina
United Dynamic,18-Jul-17,25-Jul-17,China,Singapore,PetroChina
Shinyo Saowalak,19-Jul-17,26-Aug-17,China,Kizomba A,UNIPEC
Great Lady,18-Jul-17,24-Aug-17,China,Malongo,UNIPEC
Gener8 Companion,18-Jul-17,22-Jul-17,China,Singapore,Chimbusco
Xin Tong Yang,18-Jul-17,10-Aug-17,China,Al Shaheen,UNIPEC
New Dragon,18-Jul-17,9-Aug-17,China,Kharg Island,UNIPEC
British Century,17-Jul-17,28-Aug-17,China,Dos Bocas,UNIPEC
Dht Sophie,18-Jul-17,23-Jul-17,China,Nakhodka,Trafigura
Cosgreat Lake,16-Jul-17,5-Aug-17,China,Al Basrah,UNIPEC
Astro Chloe,19-Jul-17,30-Aug-17,China,La Paloma Light.,Shell
Oceanis,17-Jul-17,19-Aug-17,China,Angra dos Reis,Petrobras
Brightoil Lion,19-Jul-17,24-Jul-17,China,Vietnam,UNIPEC
Agios Fanourios I,16-Jul-17,14-Aug-17,China,Greater Plutonio,UNIPEC
Erik Spirit,17-Jul-17,19-Jul-17,China,Nakhodka,Chemchina
Cosbright Lake,17-Jul-17,6-Aug-17,China,Ras Tanura,UNIPEC
New Caesar,16-Jul-17,19-Aug-17,China,PSVM,UNIPEC
New Wealth,18-Jul-17,9-Aug-17,China,Persian Gulf,UNIPEC
Delta Tolmi,16-Jul-17,26-Aug-17,China,Angra dos Reis,Petrobras
Ningbo Dawn,16-Jul-17,18-Jul-17,China,Kozmino,Sinochem Group
New Medal,16-Jul-17,4-Aug-17,China,Ras Tanura,UNIPEC
Radiant Star,17-Jul-17,28-Jul-17,China,PEBG Light.,Chemchina
Yong Xing Zhou,17-Jul-17,18-Jul-17,China,Mercuria Storage,
Bei Hai Zhan Wang,16-Jul-17,18-Jul-17,China,Xinxijiang,
Diamond Faith,16-Jul-17,20-Jul-17,China,Kozmino,CNOOC
Xin Ning Yang,15-Jul-17,5-Aug-17,China,Kharg Island,UNIPEC
Al Salmi,15-Jul-17,3-Aug-17,China,Mina Al-Ahmadi,
Yang Lin Wan,15-Jul-17,20-Jul-17,China,Bohai Pengbo,
Hs Medea,15-Jul-17,19-Jul-17,China,Kozmino,Chemchina
Madison Orca,15-Jul-17,4-Aug-17,China,Mina Al Fahal,
Astro Chorus,15-Jul-17,5-Aug-17,China,Al Basrah,UNIPEC
Front Hakata,15-Jul-17,5-Aug-17,China,Al Basrah,CNOOC
Tian Long Zuo,14-Jul-17,24-Jul-17,China,Tankstore,
Yu Lin Wan,14-Jul-17,17-Jul-17,China,Beibu II,
Front Duchess,14-Jul-17,12-Aug-17,China,N'Goma,Sinochem Group
Brightoil Legend,14-Jul-17,19-Jul-17,China,Kozmino,PetroChina
Maran Penelope,13-Jul-17,19-Jul-17,China,Hong Kong Light.,
Qi Lian San,13-Jul-17,10-Aug-17,China,Mina Al Fahal,UNIPEC
Feng Huang Zuo,13-Jul-17,15-Jul-17,China,Dalian,
Happiness I,13-Jul-17,17-Jul-17,China,Rizhao,
Bw Bauhinia,13-Jul-17,27-Jul-17,China,Al Basrah,NPI
Xin Ning Yang,13-Jul-17,5-Aug-17,China,Sirri,UNIPEC
Diamond Eternity,13-Jul-17,17-Jul-17,China,Kozmino,UNIPEC
Shi Zi Zuo,12-Jul-17,14-Jul-17,China,Aoshan,
Yasa Golden Horn,12-Jul-17,17-Aug-17,China,Esmeraldas,Gunvor
Ds Venture,12-Jul-17,10-Aug-17,China,Pazflor,CNOOC
Agios Gerasimos,12-Jul-17,1-Aug-17,China,Bashair,Tupras
Kythira Warrior,12-Jul-17,17-Jul-17,China,Kozmino,Chemchina
Front Duchess,11-Jul-17,12-Aug-17,China,PSVM,Sinochem Group
Delta Sky,11-Jul-17,20-Aug-17,China,Angra dos Reis,Petrobras
Yuan Shan Hu,11-Jul-17,2-Aug-17,China,Kharg Island,UNIPEC
Lian An Hu,11-Jul-17,16-Jul-17,China,Bohai Century,
Sea Splendor,11-Jul-17,2-Aug-17,China,Mina Al-Ahmadi,
San Ding Chang Chun,11-Jul-17,17-Jul-17,China,Huizhou,
Ionic Anax,11-Jul-17,15-Jul-17,China,Kozmino,UNIPEC
Marbella,10-Jul-17,2-Aug-17,China,Juaymah,UNIPEC
San Ding Chang Le,10-Jul-17,15-Jul-17,China,Weng Chang,
Sentinel Spirit,10-Jul-17,12-Jul-17,China,Vopak Yangpu,
Bei Hai Wei Wang,9-Jul-17,17-Jul-17,China,Panyu,
Feng Huang Zhou,9-Jul-17,15-Jul-17,China,Bohai Pengbo,
Fida,9-Jul-17,14-Jul-17,China,Nagasaki Light.,
Sea Horizon,9-Jul-17,18-Jul-17,China,Linggi Light.,Glencore
Texas,9-Jul-17,12-Aug-17,China,Djeno,UNIPEC
Nave Buena Suerte,8-Jul-17,21-Aug-17,China,La Paloma Light.,
V8 Stealth,8-Jul-17,13-Jul-17,China,Kozmino,Trafigura
Nerissa,8-Jul-17,11-Aug-17,China,Clov,Statoil ASA
Grand Lady,8-Jul-17,24-Jul-17,China,Al Basrah,Sinochem Group
Brightoil Galaxy,8-Jul-17,30-Jul-17,China,Juaymah,UNIPEC
Liu Lin Wan,8-Jul-17,15-Jul-17,China,Xinxijiang,
Fei Ma Zuo,8-Jul-17,17-Jul-17,China,Yangpu,
Ling Yang Zuo,7-Jul-17,11-Jul-17,China,Dongying,
Agios Sostis I,7-Jul-17,10-Aug-17,China,Kizomba C Mondo,Sinochem Group
Lucky Trader,7-Jul-17,29-Jul-17,China,Al Basrah,UNIPEC
Ti Europe,7-Jul-17,3-Aug-17,China,Juaymah,
Nave Buena Suerte,7-Jul-17,21-Aug-17,China,La Paloma Light.,
Lian Yun Hu,7-Jul-17,8-Jul-17,China,Qinzhou Light.,
Eagle Varna,7-Jul-17,4-Aug-17,China,Pacific Terminal,Tesoro
Eco Seas,7-Jul-17,12-Aug-17,China,Forcados,
Sea Horizon,6-Jul-17,18-Jul-17,China,Linggi Light.,Glencore
Bei Hai Ming Wang,6-Jul-17,12-Jul-17,China,Kozmino,CNOOC
Nisalah,6-Jul-17,24-Aug-17,China,Galveston Light.,
Long Hu San,6-Jul-17,28-Jul-17,China,Juaymah,PetroChina
Yu Lin Wan,6-Jul-17,9-Jul-17,China,Weng Chang,
Lu San,6-Jul-17,27-Jul-17,China,Mina Al Fahal,CNOOC
Cosflying Lake,5-Jul-17,5-Aug-17,China,Palanca,UNIPEC
Brightoil League,5-Jul-17,13-Jul-17,China,Kozmino,CNOOC
Yang Lin Wan,5-Jul-17,7-Jul-17,China,Qingdao,
Amphitrite,5-Jul-17,7-Aug-17,China,Angra dos Reis,Petrobras
Al Jabriyah II,5-Jul-17,19-Jul-17,China,Mina Al-Ahmadi,
Istanbul,5-Jul-17,15-Aug-17,China,Bullenbay,Koch S&T
Jing Gang San,5-Jul-17,8-Aug-17,China,Djeno,UNIPEC
Front Challenger,5-Jul-17,2-Aug-17,China,Sidi Kerir,
Shi Zi Zuo,4-Jul-17,6-Jul-17,China,Aoshan,
Nerissa,4-Jul-17,11-Aug-17,China,PSVM,Statoil ASA
Patmos Warrior,4-Jul-17,17-Jul-17,China,Kozmino,UNIPEC
Pu Tuo San,4-Jul-17,7-Aug-17,China,N'Goma,UNIPEC
New Aspire,3-Jul-17,22-Aug-17,China,BTC Terminal,
Hua San,3-Jul-17,21-Jul-17,China,Al Shaheen I,PetroChina
Agios Sostis I,3-Jul-17,10-Aug-17,China,Malongo,Sinochem Group
Dht Sophie,3-Jul-17,8-Jul-17,China,Kozmino,Lukoil
Fei Ma Zuo,3-Jul-17,4-Jul-17,China,Yangpu,
Island Splendor,3-Jul-17,23-Jul-17,China,Juaymah,
Eagle Varna,2-Jul-17,4-Aug-17,China,Pacific Terminal,Tesoro
Nordic Hawk,2-Jul-17,17-Jul-17,China,Tanjung Bruas Light.,Statoil ASA
Gener8 Perseus,2-Jul-17,17-Aug-17,China,Jose Terminal,
Ocean Pegasus,2-Jul-17,8-Jul-17,China,Kozmino,
Texas,2-Jul-17,12-Aug-17,China,Sendje Ceiba,UNIPEC
Cosflying Lake,2-Jul-17,5-Aug-17,China,Clov,UNIPEC
Ds Venture,2-Jul-17,10-Aug-17,China,Dalia,CNOOC
New Prosperity,2-Jul-17,20-Aug-17,China,Covenas,
Energy R,2-Jul-17,20-Jul-17,China,Juaymah,UNIPEC
Nisalah,2-Jul-17,24-Aug-17,China,Galveston Light.,
Boyaca,2-Jul-17,25-Jul-17,China,Zirku,
Th Symphony,2-Jul-17,11-Jul-17,China,Kozmino,NPI
Olympic Trophy,2-Jul-17,22-Jul-17,China,Juaymah,
Gener8 Theseus,1-Jul-17,22-Jul-17,China,Mina Al Fahal,Shell
Filikon,1-Jul-17,23-Jul-17,China,Das Island,BP
Filikon,1-Jul-17,23-Jul-17,China,Das Island,BP
Nisalah,1-Jul-17,24-Aug-17,China,Galveston Light.,
Tai Hung San,1-Jul-17,22-Jul-17,China,Malongo,UNIPEC
Brightoil Gravity,1-Jul-17,2-Jul-17,China,Huizhou,UNIPEC
Yong Xing Zhou,1-Jul-17,10-Jul-17,China,Mercuria Storage,
Hua San,30-Jun-17,21-Jul-17,China,Ras Tanura,PetroChina
Brightoil Gem,30-Jun-17,19-Jul-17,China,Juaymah,UNIPEC
Feng Huang Zhou,30-Jun-17,5-Jul-17,China,Weng Chang,
Tamara,30-Jun-17,28-Jul-17,China,Marsa al Hariga,
Dalian Venture,30-Jun-17,20-Jul-17,China,ADCOP Fujairah,SPC
Advantage Anthem,30-Jun-17,7-Jul-17,China,Widuri,
New Vigorous,30-Jun-17,4-Aug-17,China,Greater Plutonio,
Jing Gang San,30-Jun-17,8-Aug-17,China,Djeno,UNIPEC
Lian Sheng Hu,30-Jun-17,2-Jul-17,China,Qinzhou Light.,
Advantage Anthem,30-Jun-17,7-Jul-17,China,Widuri,
New Vigorous,30-Jun-17,4-Aug-17,China,Greater Plutonio,
Feng Huang Zuo,30-Jun-17,7-Jul-17,China,Dalian,
Front Cecilie,29-Jun-17,20-Jul-17,China,Al Basrah,SPC
Navig8 Express,29-Jun-17,13-Jul-17,China,UT,
Tai Hung San,29-Jun-17,22-Jul-17,China,PSVM,UNIPEC
Hs Medea,29-Jun-17,6-Jul-17,China,Nong Yao,
Lian Yun Hu,29-Jun-17,29-Jun-17,China,Qinzhou Light.,
Tamara,29-Jun-17,28-Jul-17,China,Marsa al Hariga,
Pacific Dubai,29-Jun-17,17-Jul-17,China,Gagak Rimang,Mercuria
Bei Hai Wei Wang,29-Jun-17,2-Jul-17,China,Xinxijiang,
Lian An Hu,29-Jun-17,1-Jul-17,China,Bohai Century,
Adventure,29-Jun-17,22-Jul-17,China,Ash Shihr,
Diamond Faith,28-Jun-17,3-Jul-17,China,Kozmino,UNIPEC
Eco Queen,28-Jun-17,22-Jul-17,China,Santos Light.,UNIPEC
Nisalah,28-Jun-17,24-Aug-17,China,Galveston Light.,
Advantage Anthem,28-Jun-17,7-Jul-17,China,Cinta,
Desh Vaibhav,28-Jun-17,18-Jul-17,China,Juaymah,UNIPEC
Sea Hymn,28-Jun-17,5-Jul-17,China,Yeosu,
Liu Lin Wan,28-Jun-17,3-Jul-17,China,Bohai Pengbo,
Yu Lin Wan,28-Jun-17,30-Jun-17,China,Weng Chang,
New Spirit,28-Jun-17,22-Jul-17,China,Kharg Island,UNIPEC
Shi Zi Zuo,28-Jun-17,1-Jul-17,China,HYSY112,
New Spring,27-Jun-17,18-Jul-17,China,Kharg Island,UNIPEC
Svet,27-Jun-17,20-Aug-17,China,Jose Terminal,
Caesar,27-Jun-17,19-Jul-17,China,Mina Al Fahal,Shell
Dalian Venture,27-Jun-17,20-Jul-17,China,Juaymah,SPC
Ling Yang Zuo,27-Jun-17,2-Jul-17,China,Panyu,
United Dynamic,27-Jun-17,7-Jul-17,China,Tanjung Bruas Light.,
Tian Ying Zuo,27-Jun-17,17-Jul-17,China,Tianjin,
Dream II,26-Jun-17,20-Jul-17,China,Kharg Island,
Ingrid,26-Jun-17,29-Jul-17,China,Dalia,
Shinyo Kannika,26-Jun-17,17-Jul-17,China,Juaymah,
New Prosperity,26-Jun-17,20-Aug-17,China,Covenas,
Kondor,26-Jun-17,3-Aug-17,China,Malongo,Northern Petroleum Plc
Pu Tuo San,26-Jun-17,7-Aug-17,China,Djeno,UNIPEC
Nanyang Star,26-Jun-17,13-Jul-17,China,Pelepas Light.,Pacific Commerce
Lian Sheng Hu,25-Jun-17,28-Jun-17,China,Qinzhou Light.,
Xin Pu Yang,25-Jun-17,19-Jul-17,China,Al Basrah,UNIPEC
Yuan Chun Hu,25-Jun-17,16-Jul-17,China,Kharg Island,UNIPEC
Stavanger Blossom,25-Jun-17,29-Jun-17,China,Kozmino,UNIPEC
Apolytares,25-Jun-17,31-Jul-17,China,Angra dos Reis,Petrobras
Rene,25-Jun-17,26-Jul-17,China,Mina Al Fahal,UNIPEC
Dong Ting Hu,25-Jun-17,29-Jun-17,China,Bohai Century,
New Vigorous,25-Jun-17,4-Aug-17,China,Kizomba A,
Lian Yun Hu,25-Jun-17,25-Jun-17,China,Qinzhou Light.,
Erik Spirit,25-Jun-17,7-Jul-17,China,Tanjung Bruas Light.,
Guang Xing Zhou,24-Jun-17,28-Jun-17,China,Mercuria Storage,
San Ding Chang Le,24-Jun-17,28-Jun-17,China,Dongying,
Xin Yong Yang,24-Jun-17,16-Aug-17,China,Southwold Light.,UNIPEC
Kythira Warrior,24-Jun-17,2-Jul-17,China,Kozmino,CNOOC
Kythira Warrior,24-Jun-17,29-Jun-17,China,Kozmino,CNOOC
Kalamos,24-Jun-17,13-Jul-17,China,Zirku,UNIPEC
Al Derwazah,23-Jun-17,17-Jul-17,China,Mina Al-Ahmadi,
Lian Sheng Hu,23-Jun-17,24-Jun-17,China,Qinzhou Light.,
Front Duke,23-Jun-17,17-Jul-17,China,Al Basrah,Sinochem Group
Xin Yong Yang,23-Jun-17,16-Aug-17,China,Southwold Light.,UNIPEC
Lian Yun Hu,22-Jun-17,23-Jun-17,China,Qinzhou Light.,
New Award,22-Jun-17,8-Jul-17,China,Vincent,SPC
Kondor,22-Jun-17,3-Aug-17,China,PSVM,Northern Petroleum Plc
Good News,22-Jun-17,11-Jul-17,China,Linggi Light.,
Pacific Jewels,22-Jun-17,28-Jun-17,China,Seria,
Nordic Light,22-Jun-17,6-Jul-17,China,Linggi Light.,
Gloric,22-Jun-17,27-Jul-17,China,Malongo,
Ingrid,22-Jun-17,29-Jul-17,China,Djeno,
Kalamos,22-Jun-17,13-Jul-17,China,ADCOP Fujairah,UNIPEC
Lian Sheng Hu,22-Jun-17,22-Jun-17,China,Qinzhou Light.,
Tian He Zuo,21-Jun-17,22-Jun-17,China,Aoshan,
El Gurdabia,21-Jun-17,29-Jun-17,China,Kozmino,Chemchina
El Gurdabia,21-Jun-17,27-Jun-17,China,Kozmino,Chemchina
Good News,21-Jun-17,11-Jul-17,China,Linggi Light.,
Brightoil Gem,21-Jun-17,19-Jul-17,China,Mina Al Fahal,UNIPEC
New Kassos,21-Jun-17,9-Jul-17,China,Mina Al Fahal,UNIPEC
New Vista,21-Jun-17,25-Jul-17,China,Pazflor,UNIPEC
Brightoil League,21-Jun-17,23-Jun-17,China,Rang Dong,UNIPEC
Yuan Chun Hu,21-Jun-17,16-Jul-17,China,Sirri,UNIPEC
Xin Yong Yang,21-Jun-17,16-Aug-17,China,Southwold Light.,UNIPEC
Nordic Rio,21-Jun-17,5-Aug-17,China,Angra dos Reis,
Bei Hai Wei Wang,21-Jun-17,23-Jun-17,China,Xinxijiang,
Sea Hymn,21-Jun-17,13-Jun-17,China,Yeosu,
Spring Splendor,20-Jun-17,26-Jul-17,China,Greater Plutonio,UNIPEC
Nave Spherical,20-Jun-17,27-Jul-17,China,N'Goma,UNIPEC
Anafi Warrior,20-Jun-17,28-Jun-17,China,Kozmino,NPI
New Joviality,20-Jun-17,25-Jul-17,China,Kizomba B,UNIPEC
Shinyo Kieran,20-Jun-17,11-Jul-17,China,Al Basrah,UNIPEC
Sea Hymn,20-Jun-17,22-Jun-17,China,Yeosu Light.,
Khk Vision,20-Jun-17,9-Jul-17,China,Juaymah,UNIPEC
New Kassos,20-Jun-17,13-Jul-17,China,Mina Al Fahal,UNIPEC
New Kassos,20-Jun-17,9-Jul-17,China,Mina Al Fahal,UNIPEC
Saham,19-Jun-17,12-Aug-17,China,Hound Point,Shell
Bei Hai Ming Wang,19-Jun-17,26-Jun-17,China,Kozmino,CNOOC
Simone,19-Jun-17,1-Aug-17,China,Jose Terminal,PetroChina
Fei Ma Zuo,19-Jun-17,21-Jun-17,China,Aoshan,
Liu Lin Wan,19-Jun-17,24-Jun-17,China,Panyu,
Fida,19-Jun-17,14-Jul-17,China,Nagasaki Light.,
Fida,19-Jun-17,25-Jun-17,China,Nagasaki Light.,
Yu Lin Wan,19-Jun-17,25-Jun-17,China,Bohai Pengbo,
Horse,18-Jun-17,8-Jul-17,China,Soroosh,
Eco Queen,18-Jun-17,22-Jul-17,China,Santos Light.,UNIPEC
Lian Ping Hu,18-Jun-17,4-Jul-17,China,Pelepas Light.,
Dimitris P,18-Jun-17,25-Jul-17,China,Cap Lopez,Total
Bm Bonanza,18-Jun-17,17-Jul-17,China,Kozmino,
Bm Bonanza,18-Jun-17,29-Jun-17,China,Kozmino,
Zaliv Aniva,18-Jun-17,28-Jun-17,China,Sakhalin II,
New Prospect,18-Jun-17,18-Jul-17,China,Mina Al Fahal,IOC
New Prospect,18-Jun-17,11-Jul-17,China,Mina Al Fahal,IOC
New Vista,18-Jun-17,25-Jul-17,China,Djeno,UNIPEC
Lian Yun Hu,18-Jun-17,18-Jun-17,China,Qinzhou Light.,
Apolytares,18-Jun-17,31-Jul-17,China,Angra dos Reis,Petrobras
Sea Lion,18-Jun-17,17-Jul-17,China,Malongo,CNOOC
Happiness I,18-Jun-17,17-Jul-17,China,Kharg Island,
Yuan Yue Hu,17-Jun-17,11-Jul-17,China,Kharg Island,UNIPEC
Gener8 Companion,17-Jun-17,3-Jul-17,China,UT,Chimbusco
Gener8 Companion,17-Jun-17,30-Jun-17,China,UT,Chimbusco
Ocean Pegasus,17-Jun-17,21-Jun-17,China,Kozmino,PetroChina
Cosglad Lake,17-Jun-17,26-Jun-17,China,Pelepas Light.,
New Diamond,17-Jun-17,14-Jul-17,China,Al Basrah,UNIPEC
Brightoil League,17-Jun-17,23-Jun-17,China,Te Giac Trang,UNIPEC
Brightoil Grace,16-Jun-17,14-Jul-17,China,Juaymah,UNIPEC
Gloric,16-Jun-17,27-Jul-17,China,PSVM,
Singapore River,16-Jun-17,24-Jun-17,China,Seria,Kangqi
Horse,16-Jun-17,8-Jul-17,China,Kharg Island,
Ling Yang Zuo,16-Jun-17,20-Jun-17,China,Bohai Century,
Lian Yun Hu,16-Jun-17,16-Jun-17,China,Qinzhou Light.,
Front Kathrine,15-Jun-17,23-Jul-17,China,Malongo,
Olympic Liberty,15-Jun-17,25-Jul-17,China,La Paloma Light.,
New Constant,15-Jun-17,17-Jul-17,China,Girassol,UNIPEC
Anne,15-Jun-17,1-Aug-17,China,Jose Terminal,
New Joviality,15-Jun-17,25-Jul-17,China,Kizomba B,UNIPEC
Happiness I,15-Jun-17,17-Jul-17,China,Lavan,
Banda Sea,15-Jun-17,13-Jul-17,China,Ras Gharib,
Nordic Mistral,15-Jun-17,17-Jul-17,China,Sidi Kerir,
Maxim,15-Jun-17,6-Jul-17,China,Al Basrah,
Shi Zi Zuo,15-Jun-17,21-Jun-17,China,Weng Chang,
Brightoil Grace,14-Jun-17,14-Jul-17,China,Ras Tanura,UNIPEC
Sea Voyager,14-Jun-17,22-Jun-17,China,Kozmino,CNOOC
Xin An Yang,14-Jun-17,15-Jul-17,China,Al Basrah,UNIPEC
Feng Huang Zuo,14-Jun-17,22-Jun-17,China,Dalian,
Nave Spherical,14-Jun-17,27-Jul-17,China,Djeno,UNIPEC
Guang Xing Zhou,14-Jun-17,15-Jun-17,China,Yantai,
Olympic Liberty,14-Jun-17,25-Jul-17,China,La Paloma Light.,
British Osprey,14-Jun-17,26-Jun-17,China,Pyrenees,CNOOC
Perseus Trader,14-Jun-17,10-Jul-17,China,Juaymah,
Lian Sheng Hu,14-Jun-17,22-Jun-17,China,Qinzhou Light.,
Lian Sheng Hu,14-Jun-17,15-Jun-17,China,Qinzhou Light.,
Al Riqqa,14-Jun-17,13-Jul-17,China,Mina Al-Ahmadi,
Al Riqqa,14-Jun-17,6-Jul-17,China,Mina Al-Ahmadi,
Feng Huang Zhou,13-Jun-17,17-Jun-17,China,Xinxijiang,
Front Kathrine,13-Jun-17,23-Jul-17,China,PSVM,
Lian Yun Hu,13-Jun-17,14-Jun-17,China,Qinzhou Light.,
Front Serenade,13-Jun-17,14-Jul-17,China,Ras Tanura,UNIPEC
Front Serenade,13-Jun-17,30-Jun-17,China,Ras Tanura,UNIPEC
Maersk Hayama,13-Jun-17,19-Jul-17,China,Kizomba A,UNIPEC
Dino I,13-Jun-17,19-Jul-17,China,Kharg Island,
Nave Synergy,13-Jun-17,11-Jul-17,China,Al Basrah,
Sea Lion,12-Jun-17,17-Jul-17,China,Dalia,CNOOC
Dht Sophie,12-Jun-17,26-Jun-17,China,Kozmino,Chemchina
Dht Sophie,12-Jun-17,18-Jun-17,China,Kozmino,Chemchina
Front Signe,12-Jun-17,17-Jul-17,China,Malongo,
Desh Vibhor,12-Jun-17,5-Jul-17,China,Al Basrah,
New Peace,12-Jun-17,6-Jul-17,China,Mina Al Fahal,UNIPEC
Lian An Hu,12-Jun-17,19-Jun-17,China,Bohai Century,
Lian An Hu,12-Jun-17,14-Jun-17,China,Bohai Century,
Dar Salwa,12-Jun-17,15-Jul-17,China,Mina Al-Ahmadi,
Spring Splendor,12-Jun-17,26-Jul-17,China,Sendje Ceiba,UNIPEC
Brightoil Legend,12-Jun-17,29-Jun-17,China,Pelepas Light.,SPC
Farhah,11-Jun-17,27-Jul-17,China,Jose Terminal,
Feng Huang Zhou,11-Jun-17,17-Jun-17,China,Xinxijiang,
Lian Sheng Hu,11-Jun-17,12-Jun-17,China,Qinzhou Light.,
Liu Lin Wan,11-Jun-17,13-Jun-17,China,Weng Chang,
Vl Prosperity,10-Jun-17,5-Jul-17,China,Al Basrah,UNIPEC
New Coral,10-Jun-17,7-Jul-17,China,Juaymah,UNIPEC
Tian Ying Zuo,10-Jun-17,20-Jun-17,China,Yantai,
Lian Yun Hu,10-Jun-17,10-Jun-17,China,Qinzhou Light.,
Bei Hai Wei Wang,10-Jun-17,17-Jun-17,China,Bohai Pengbo,
Plata Glory,10-Jun-17,31-Jul-17,China,Southwold Light.,UNIPEC
Landbridge Prosperity,10-Jun-17,8-Jul-17,China,Al Basrah,
Brightoil Lion,9-Jun-17,15-Jun-17,China,Ruby,UNIPEC
Th Symphony,9-Jun-17,15-Jun-17,China,Kozmino,
Aqualegend,9-Jun-17,13-Jul-17,China,Esmeraldas,
Cosgrand Lake,9-Jun-17,14-Jul-17,China,Mina Al Fahal,UNIPEC
Maersk Hayama,9-Jun-17,19-Jul-17,China,Kizomba C Mondo,UNIPEC
Tai San,9-Jun-17,7-Jul-17,China,Juaymah,PetroChina
Tai San,9-Jun-17,4-Jul-17,China,Juaymah,PetroChina
Front Signe,9-Jun-17,17-Jul-17,China,Djeno,
Millennium,9-Jun-17,24-Jun-17,China,Linggi Light.,GS Caltex
Bei Hai Zhan Wang,9-Jun-17,9-Jul-17,China,Panyu,
Gem No. 2,9-Jun-17,17-Jul-17,China,Pacific Terminal,
Xin Tong Zhou,9-Jun-17,12-Jun-17,China,HYSY112,
New Constant,9-Jun-17,17-Jul-17,China,Jubilee Light.,UNIPEC
Lian Sheng Hu,9-Jun-17,9-Jun-17,China,Qinzhou Light.,
Horaisan,8-Jun-17,28-Jun-17,China,Juaymah,UNIPEC
Stavanger Blossom,8-Jun-17,16-Jun-17,China,Kozmino,UNIPEC
Stavanger Blossom,8-Jun-17,12-Jun-17,China,Kozmino,UNIPEC
Athenian Glory,8-Jun-17,18-Jul-17,China,Dalia,UNIPEC
Athenian Glory,8-Jun-17,13-Jul-17,China,Dalia,UNIPEC
Ling Yang Zuo,8-Jun-17,13-Jun-17,China,Dalian,
Yang Mei Hu,8-Jun-17,29-Jun-17,China,Bashair,PetroChina
Yang Mei Hu,8-Jun-17,28-Jun-17,China,Bashair,PetroChina
New Victory,8-Jun-17,12-Jul-17,China,Nipah Light.,
Lian Yun Hu,8-Jun-17,8-Jun-17,China,Qinzhou Light.,
Nagaragawa,7-Jun-17,30-Jun-17,China,Al Basrah,
Koho I,7-Jun-17,7-Jul-17,China,Mina Al Fahal,UNIPEC
Koho I,7-Jun-17,4-Jul-17,China,Mina Al Fahal,UNIPEC
Koho I,7-Jun-17,24-Jun-17,China,Mina Al Fahal,UNIPEC
New Courage,7-Jun-17,10-Jul-17,China,Malongo,
Iris,7-Jun-17,25-Jul-17,China,Jose Terminal,
Yu Lin Wan,7-Jun-17,11-Jun-17,China,Weng Chang,
Dong Ting Hu,7-Jun-17,10-Jun-17,China,Bohai Century,
