"reason","imo","operation_date","report_date","archive_time","grade","grade_raw","quantity","port","operation_raw","operation","rank_operation","direction","lo_country_code","lo_city_code","charterer","supplier","receiver","source_file","source_sheet","source_imo","min_dist","bargo"
"ARRIVAL: no arrival match","CHANTAL","2017-06-01","2017-08-08","2017-08-08","MD013","Jet A1","2289.0","MT","arriveddate","Arrived","1","Load","NL","RTM ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9382982&startdate=2017-05-21&enddate=2017-06-12"
"ARRIVAL: no arrival match","NORDIC SOLA","2017-07-19","2017-08-10","2017-08-10","MD008","Gasoil","2200.0","MT","arriveddate","Arrived","1","Discharge","NL","AMS ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9375989&startdate=2017-07-08&enddate=2017-07-30"
"ARRIVAL: no arrival match","IMERA","2017-04-14","2017-08-08","2017-08-08","GS013","Pygas","2105.0","MT","arriveddate","Arrived","1","Discharge","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9458066&startdate=2017-04-03&enddate=2017-04-25"
"ARRIVAL: no arrival match","SENSATION","2017-03-29","2017-08-08","2017-08-08","GS010","Methyl Tert-Butyl Ether (MTBE)","2101.0","MT","arriveddate","Arrived","1","Load","BE","ANR ","","","","gs101","","manual modification","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=13955&startdate=2017-03-18&enddate=2017-04-09"
"ARRIVAL: no arrival match","SENSATION","2016-12-16","2017-08-08","2017-08-08","GS008","Toluene / Xylene (TX) Cut","2101.0","MT","arriveddate","Arrived","1","Load","BE","ANR ","","","","gs101","","manual modification","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=13955&startdate=2016-12-05&enddate=2016-12-27"
"ARRIVAL: no arrival match","SENSATION","2017-03-30","2017-08-08","2017-08-08","GS010","MTBE","2101.0","MT","arriveddate","Arrived","1","Discharge","NL","RTM ","","","","gs101","","manual modification","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=13955&startdate=2017-03-19&enddate=2017-04-10"
"ARRIVAL: no arrival match","ATLANTIS","2017-05-12","2017-08-08","2017-08-08","GS018","Gasoline","2100.0","MT","arriveddate","Arrived","1","Load","NL","AMS ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9569621&startdate=2017-05-01&enddate=2017-05-23"
"ARRIVAL: no arrival match","COMPASS","2017-05-09","2017-08-08","2017-08-08","GS009","Ethanol Blend","2098.0","MT","arriveddate","Arrived","1","Load","NL","RTM ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9274094&startdate=2017-04-28&enddate=2017-05-20"
"ARRIVAL: no arrival match","COMPAAN","2017-06-21","2017-08-08","2017-08-08","GS019","Eurobob","2097.0","MT","arriveddate","Arrived","1","Load","NL","AMS ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9479022&startdate=2017-06-10&enddate=2017-07-02"
"ARRIVAL: no arrival match","COMPAAN","2017-03-19","2017-08-08","2017-08-08","GS013","Pygas","2059.0","MT","arriveddate","Arrived","1","Load","NL","RTM ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9479022&startdate=2017-03-08&enddate=2017-03-30"
